group,groupcode,species,scientific,raritycode,pelagic,shorebird,passerine
Sandpiper/Allies,33,Spoon-billed Sandpiper,Eurynorhynchus pygmeus,4,0,1,0
Sandpiper/Allies,33,Broad-billed Sandpiper,Limicola falcinellus,4,0,1,0
Sandpiper/Allies,33,Buff-breasted Sandpiper,Tryngites subruficollis,1,0,1,0
Sandpiper/Allies,33,Ruff,Philomachus pugnax,3,0,1,0
Sandpiper/Allies,33,Short-billed Dowitcher,Limnodromus griseus,1,0,1,0
Sandpiper/Allies,33,Long-billed Dowitcher,Limnodromus scolopaceus,1,0,1,0
Sandpiper/Allies,33,Jack Snipe,Lymnocryptes minimus,4,0,1,0
Sandpiper/Allies,33,Wilson's Snipe,Gallinago delicata,1,0,1,0
Sandpiper/Allies,33,Common Snipe,Gallinago gallinago,3,0,1,0
Sandpiper/Allies,33,Pin-tailed Snipe,Gallinago stenura,5,0,1,0
Sandpiper/Allies,33,Solitary Snipe,Gallinago solitaria,5,0,1,0
Terrestrial Shorebird,34,Eurasian Woodcock,Scolopax rusticola,5,0,0,0
Terrestrial Shorebird,34,American Woodcock,Scolopax minor,1,0,0,0
Phalarope,35,Wilson's Phalarope,Phalaropus tricolor,1,0,0,0
Phalarope,35,Red-necked Phalarope,Phalaropus lobatus,1,0,0,0
Phalarope,35,Red Phalarope,Phalaropus fulicarius,1,1,0,0
Pratincoles,36,Oriental Pratincole,Glareola maldivarum,5,0,0,0
Gulls/Terns,37,Swallow-tailed Gull,Creagrus furcatus,5,0,0,0
Gulls/Terns,37,Black-legged Kittiwake,Rissa tridactyla,1,0,0,0
Gulls/Terns,37,Red-legged Kittiwake,Rissa brevirostris,2,0,0,0
Gulls/Terns,37,Ivory Gull,Pagophila eburnea,3,0,0,0
Gulls/Terns,37,Sabine's Gull,Xema sabini,1,0,0,0
Gulls/Terns,37,Bonaparte's Gull,Chroicocephalus philadelphia,1,0,0,0
Gulls/Terns,37,Gray-hooded Gull,Chroicocephalus cirrocephalus,5,0,0,0
Gulls/Terns,37,Black-headed Gull,Chroicocephalus ridibundus,3,0,0,0
Gulls/Terns,37,Little Gull,Hydrocoloeus minutus,3,0,0,0
Gulls/Terns,37,Ross's Gull,Rhodostethia rosea,3,0,0,0
Gulls/Terns,37,Laughing Gull,Leucophaeus atricilla,1,0,0,0
Gulls/Terns,37,Franklin's Gull,Leucophaeus pipixcan,1,0,0,0
Gulls/Terns,37,Belcher's Gull,Larus belcheri,5,0,0,0
Gulls/Terns,37,Black-tailed Gull,Larus crassirostris,4,0,0,0
Gulls/Terns,37,Heermann's Gull,Larus heermanni,1,0,0,0
Gulls/Terns,37,Mew Gull,Larus canus,1,0,0,0
Gulls/Terns,37,Ring-billed Gull,Larus delawarensis,1,0,0,0
Gulls/Terns,37,Western Gull,Larus occidentalis,1,0,0,0
Gulls/Terns,37,Yellow-footed Gull,Larus livens,2,0,0,0
Gulls/Terns,37,California Gull,Larus californicus,1,0,0,0
Gulls/Terns,37,Herring Gull,Larus argentatus,1,0,0,0
Gulls/Terns,37,Yellow-legged Gull,Larus michahellis,4,0,0,0
Gulls/Terns,37,Thayer's Gull,Larus thayeri,2,0,0,0
Gulls/Terns,37,Iceland Gull,Larus glaucoides,2,0,0,0
Gulls/Terns,37,Lesser Black-backed Gull,Larus fuscus,2,0,0,0
Gulls/Terns,37,Slaty-backed Gull,Larus schistisagus,3,0,0,0
Gulls/Terns,37,Glaucous-winged Gull,Larus glaucescens,1,0,0,0
Gulls/Terns,37,Glaucous Gull,Larus hyperboreus,1,0,0,0
Gulls/Terns,37,Great Black-backed Gull,Larus marinus,1,0,0,0
Gulls/Terns,37,Kelp Gull,Larus dominicanus,4,0,0,0
Gulls/Terns,37,Brown Noddy,Anous stolidus,2,1,0,0
Gulls/Terns,37,Black Noddy,Anous minutus,3,1,0,0
Gulls/Terns,37,Sooty Tern,Onychoprion fuscatus,2,1,0,0
Gulls/Terns,37,Bridled Tern,Onychoprion anaethetus,2,0,0,0
Gulls/Terns,37,Aleutian Tern,Onychoprion aleuticus,2,0,0,0
Gulls/Terns,37,Least Tern,Sternula antillarum,1,0,0,0
Gulls/Terns,37,Large-billed Tern,Phaetusa simplex,5,0,0,0
Gulls/Terns,37,Gull-billed Tern,Gelochelidon nilotica,1,0,0,0
Gulls/Terns,37,Caspian Tern,Hydroprogne caspia,1,0,0,0
Gulls/Terns,37,Black Tern,Chlidonias niger,1,0,0,0
Gulls/Terns,37,White-winged Tern,Chlidonias leucopterus,4,0,0,0
Gulls/Terns,37,Whiskered Tern,Chlidonias hybrida,5,0,0,0
Gulls/Terns,37,Roseate Tern,Sterna dougallii,2,0,0,0
Gulls/Terns,37,Common Tern,Sterna hirundo,1,0,0,0
Gulls/Terns,37,Arctic Tern,Sterna paradisaea,1,0,0,0
Gulls/Terns,37,Forster's Tern,Sterna forsteri,1,0,0,0
Gulls/Terns,37,Royal Tern,Thalasseus maximus,1,0,0,0
Gulls/Terns,37,Sandwich Tern,Thalasseus sandvicensis,1,0,0,0
Gulls/Terns,37,Elegant Tern,Thalasseus elegans,1,0,0,0
Gulls/Terns,37,Black Skimmer,Rynchops niger,1,0,0,0
Skuas/Jaegers,38,Great Skua,Stercorarius skua,3,1,0,0
Skuas/Jaegers,38,South Polar Skua,Stercorarius maccormicki,2,1,0,0
Skuas/Jaegers,38,Pomarine Jaeger,Stercorarius pomarinus,1,1,0,0
Skuas/Jaegers,38,Parasitic Jaeger,Stercorarius parasiticus,1,1,0,0
Skuas/Jaegers,38,Long-tailed Jaeger,Stercorarius longicaudus,1,1,0,0
Alcids,39,Dovekie,Alle alle,2,1,0,0
Alcids,39,Common Murre,Uria aalge,1,1,0,0
Alcids,39,Thick-billed Murre,Uria lomvia,1,1,0,0
Alcids,39,Razorbill,Alca torda,1,1,0,0
Alcids,39,Great Auk,Pinguinus impennis,6,1,0,0
Alcids,39,Black Guillemot,Cepphus grylle,1,1,0,0
Alcids,39,Pigeon Guillemot,Cepphus columba,1,1,0,0
Alcids,39,Long-billed Murrelet,Brachyramphus perdix,3,1,0,0
Alcids,39,Marbled Murrelet,Brachyramphus marmoratus,1,1,0,0
Alcids,39,Kittlitz's Murrelet,Brachyramphus brevirostris,2,1,0,0
Alcids,39,Scripps’s Murrelet,Synthliboramphus scrippsi,2,1,0,0
Alcids,39,Guadalupe Murrelet,Synthliboramphus hypoleucus,3,1,0,0
Alcids,39,Craveri's Murrelet,Synthliboramphus craveri,3,1,0,0
Alcids,39,Ancient Murrelet,Synthliboramphus antiquus,2,1,0,0
Alcids,39,Cassin's Auklet,Ptychoramphus aleuticus,1,1,0,0
Alcids,39,Parakeet Auklet,Aethia psittacula,2,1,0,0
Alcids,39,Least Auklet,Aethia pusilla,2,1,0,0
Alcids,39,Whiskered Auklet,Aethia pygmaea,2,1,0,0
Alcids,39,Crested Auklet,Aethia cristatella,2,1,0,0
Alcids,39,Rhinoceros Auklet,Cerorhinca monocerata,1,1,0,0
Alcids,39,Atlantic Puffin,Fratercula arctica,1,1,0,0
Alcids,39,Horned Puffin,Fratercula corniculata,1,1,0,0
Alcids,39,Tufted Puffin,Fratercula cirrhata,1,1,0,0
Pigeons/Doves,40,Rock Pigeon,Columba livia,1,0,0,0
Pigeons/Doves,40,Scaly-naped Pigeon,Patagioenas squamosa,5,0,0,0
Pigeons/Doves,40,White-crowned Pigeon,Patagioenas leucocephala,2,0,0,0
Pigeons/Doves,40,Red-billed Pigeon,Patagioenas flavirostris,2,0,0,0
Pigeons/Doves,40,Band-tailed Pigeon,Patagioenas fasciata,1,0,0,0
Pigeons/Doves,40,Oriental Turtle-Dove,Streptopelia orientalis,4,0,0,0
Pigeons/Doves,40,European Turtle-Dove,Streptopelia turtur,5,0,0,0
Pigeons/Doves,40,Eurasian Collared-Dove,Streptopelia decaocto,1,0,0,0
Pigeons/Doves,40,Spotted Dove,Streptopelia chinensis,2,0,0,0
Pigeons/Doves,40,White-winged Dove,Zenaida asiatica,1,0,0,0
Pigeons/Doves,40,Zenaida Dove,Zenaida aurita,5,0,0,0
Pigeons/Doves,40,Mourning Dove,Zenaida macroura,1,0,0,0
Pigeons/Doves,40,Passenger Pigeon,Ectopistes migratorius,6,0,0,0
Pigeons/Doves,40,Inca Dove,Columbina inca,1,0,0,0
Pigeons/Doves,40,Common Ground-Dove,Columbina passerina,1,0,0,0
Pigeons/Doves,40,Ruddy Ground-Dove,Columbina talpacoti,3,0,0,0
Pigeons/Doves,40,White-tipped Dove,Leptotila verreauxi,2,0,0,0
Pigeons/Doves,40,Key West Quail-Dove,Geotrygon chrysia,4,0,0,0
Pigeons/Doves,40,Ruddy Quail-Dove,Geotrygon montana,5,0,0,0
Cuckoos,41,Common Cuckoo,Cuculus canorus,3,0,0,0
Cuckoos,41,Oriental Cuckoo,Cuculus optatus,4,0,0,0
Cuckoos,41,Yellow-billed Cuckoo,Coccyzus americanus,1,0,0,0
Cuckoos,41,Mangrove Cuckoo,Coccyzus minor,2,0,0,0
Cuckoos,41,Black-billed Cuckoo,Coccyzus erythropthalmus,1,0,0,0
Cuckoos,41,Greater Roadrunner,Geococcyx californianus,1,0,0,0
Cuckoos,41,Smooth-billed Ani,Crotophaga ani,3,0,0,0
Cuckoos,41,Groove-billed Ani,Crotophaga sulcirostris,2,0,0,0
Owls,42,Barn Owl,Tyto alba,1,0,0,0
Owls,42,Flammulated Owl,Otus flammeolus,2,0,0,0
Owls,42,Oriental Scops-Owl,Otus sunia,5,0,0,0
Owls,42,Western Screech-Owl,Megascops kennicottii,1,0,0,0
Owls,42,Eastern Screech-Owl,Megascops asio,1,0,0,0
Owls,42,Whiskered Screech-Owl,Megascops trichopsis,2,0,0,0
Owls,42,Great Horned Owl,Bubo virginianus,1,0,0,0
Owls,42,Snowy Owl,Bubo scandiacus,2,0,0,0
Owls,42,Northern Hawk Owl,Surnia ulula,2,0,0,0
Owls,42,Northern Pygmy-Owl,Glaucidium gnoma,2,0,0,0
Owls,42,Ferruginous Pygmy-Owl,Glaucidium brasilianum,3,0,0,0
Owls,42,Elf Owl,Micrathene whitneyi,2,0,0,0
Owls,42,Burrowing Owl,Athene cunicularia,1,0,0,0
Owls,42,Mottled Owl,Ciccaba virgata,5,0,0,0
Owls,42,Spotted Owl,Strix occidentalis,2,0,0,0
Owls,42,Barred Owl,Strix varia,1,0,0,0
Owls,42,Great Gray Owl,Strix nebulosa,2,0,0,0
Owls,42,Long-eared Owl,Asio otus,2,0,0,0
Owls,42,Stygian Owl,Asio stygius,5,0,0,0
Owls,42,Short-eared Owl,Asio flammeus,1,0,0,0
Owls,42,Boreal Owl,Aegolius funereus,2,0,0,0
Owls,42,Northern Saw-whet Owl,Aegolius acadicus,2,0,0,0
Owls,42,Brown Hawk-Owl,Ninox scutulata,5,0,0,0
Caprimulgiformes,43,Lesser Nighthawk,Chordeiles acutipennis,1,0,0,0
Caprimulgiformes,43,Common Nighthawk,Chordeiles minor,1,0,0,0
Caprimulgiformes,43,Antillean Nighthawk,Chordeiles gundlachii,2,0,0,0
Caprimulgiformes,43,Common Pauraque,Nyctidromus albicollis,2,0,0,0
Caprimulgiformes,43,Common Poorwill,Phalaenoptilus nuttallii,1,0,0,0
Caprimulgiformes,43,Chuck-will's-widow,Antrostomus carolinensis,1,0,0,0
Caprimulgiformes,43,Buff-collared Nightjar,Antrostomus ridgwayi,3,0,0,0
Caprimulgiformes,43,Eastern Whip-poor-will,Antrostomus vociferus,1,0,0,0
Caprimulgiformes,43,Mexican Whip-poor-will,Antrostomus arizonae,1,0,0,0
Caprimulgiformes,43,Gray Nightjar,Caprimulgus indicus,5,0,0,0
Swifts,44,Black Swift,Cypseloides niger,2,0,0,0
Swifts,44,White-collared Swift,Streptoprocne zonaris,4,0,0,0
Swifts,44,Chimney Swift,Chaetura pelagica,1,0,0,0
Swifts,44,Vaux's Swift,Chaetura vauxi,1,0,0,0
Swifts,44,White-throated Needletail,Hirundapus caudacutus,5,0,0,0
Swifts,44,Common Swift,Apus apus,5,0,0,0
Swifts,44,Fork-tailed Swift,Apus pacificus,4,0,0,0
Swifts,44,White-throated Swift,Aeronautes saxatalis,1,0,0,0
Swifts,44,Antillean Palm-Swift,Tachornis phoenicobia,5,0,0,0
Hummingbirds,45,Green Violetear,Colibri thalassinus,3,0,0,0
Hummingbirds,45,Green-breasted Mango,Anthracothorax prevostii,4,0,0,0
Hummingbirds,45,Magnificent Hummingbird,Eugenes fulgens,2,0,0,0
Hummingbirds,45,Plain-capped Starthroat,Heliomaster constantii,4,0,0,0
Hummingbirds,45,Blue-throated Hummingbird,Lampornis clemenciae,2,0,0,0
Hummingbirds,45,Bahama Woodstar,Calliphlox evelynae,5,0,0,0
Hummingbirds,45,Lucifer Hummingbird,Calothorax lucifer,2,0,0,0
Hummingbirds,45,Ruby-throated Hummingbird,Archilochus colubris,1,0,0,0
Hummingbirds,45,Black-chinned Hummingbird,Archilochus alexandri,1,0,0,0
Hummingbirds,45,Anna's Hummingbird,Calypte anna,1,0,0,0
Hummingbirds,45,Costa's Hummingbird,Calypte costae,1,0,0,0
Hummingbirds,45,Bumblebee Hummingbird,Atthis heloisa,5,0,0,0
Hummingbirds,45,Broad-tailed Hummingbird,Selasphorus platycercus,1,0,0,0
Hummingbirds,45,Rufous Hummingbird,Selasphorus rufus,1,0,0,0
Hummingbirds,45,Allen's Hummingbird,Selasphorus sasin,1,0,0,0
Hummingbirds,45,Calliope Hummingbird,Selasphorus calliope,1,0,0,0
Hummingbirds,45,Broad-billed Hummingbird,Cynanthus latirostris,2,0,0,0
Hummingbirds,45,Berylline Hummingbird,Amazilia beryllina,3,0,0,0
Hummingbirds,45,Buff-bellied Hummingbird,Amazilia yucatanensis,2,0,0,0
Hummingbirds,45,Cinnamon Hummingbird,Amazilia rutila,5,0,0,0
Hummingbirds,45,Violet-crowned Hummingbird,Amazilia violiceps,2,0,0,0
Hummingbirds,45,White-eared Hummingbird,Hylocharis leucotis,3,0,0,0
Hummingbirds,45,Xantus's Hummingbird,Hylocharis xantusii,5,0,0,0
Trogons,46,Elegant Trogon,Trogon elegans,2,0,0,0
Trogons,46,Eared Quetzal,Euptilotis neoxenus,4,0,0,0
Hoopoes,47,Eurasian Hoopoe,Upupa epops,5,0,0,0
Kingfishers,48,Ringed Kingfisher,Megaceryle torquata,2,0,0,0
Kingfishers,48,Belted Kingfisher,Megaceryle alcyon,1,0,0,0
Kingfishers,48,Amazon Kingfisher,Chloroceryle amazona,5,0,0,0
Kingfishers,48,Green Kingfisher,Chloroceryle americana,2,0,0,0
Woodpeckers,49,Eurasian Wryneck,Jynx torquilla,5,0,0,0
Woodpeckers,49,Lewis's Woodpecker,Melanerpes lewis,1,0,0,0
Woodpeckers,49,Red-headed Woodpecker,Melanerpes erythrocephalus,1,0,0,0
Woodpeckers,49,Acorn Woodpecker,Melanerpes formicivorus,1,0,0,0
Woodpeckers,49,Gila Woodpecker,Melanerpes uropygialis,1,0,0,0
Woodpeckers,49,Golden-fronted Woodpecker,Melanerpes aurifrons,1,0,0,0
Woodpeckers,49,Red-bellied Woodpecker,Melanerpes carolinus,1,0,0,0
Woodpeckers,49,Williamson's Sapsucker,Sphyrapicus thyroideus,1,0,0,0
Woodpeckers,49,Yellow-bellied Sapsucker,Sphyrapicus varius,1,0,0,0
Woodpeckers,49,Red-naped Sapsucker,Sphyrapicus nuchalis,1,0,0,0
Woodpeckers,49,Red-breasted Sapsucker,Sphyrapicus ruber,1,0,0,0
Woodpeckers,49,Great Spotted Woodpecker,Dendrocopos major,4,0,0,0
Woodpeckers,49,Ladder-backed Woodpecker,Picoides scalaris,1,0,0,0
Woodpeckers,49,Nuttall's Woodpecker,Picoides nuttallii,1,0,0,0
Woodpeckers,49,Downy Woodpecker,Picoides pubescens,1,0,0,0
Woodpeckers,49,Hairy Woodpecker,Picoides villosus,1,0,0,0
Woodpeckers,49,Arizona Woodpecker,Picoides arizonae,2,0,0,0
Woodpeckers,49,Red-cockaded Woodpecker,Picoides borealis,2,0,0,0
Woodpeckers,49,White-headed Woodpecker,Picoides albolarvatus,1,0,0,0
Woodpeckers,49,American Three-toed Woodpecker,Picoides dorsalis,2,0,0,0
Woodpeckers,49,Black-backed Woodpecker,Picoides arcticus,2,0,0,0
Woodpeckers,49,Northern Flicker,Colaptes auratus,1,0,0,0
Woodpeckers,49,Gilded Flicker,Colaptes chrysoides,2,0,0,0
Woodpeckers,49,Pileated Woodpecker,Dryocopus pileatus,1,0,0,0
Woodpeckers,49,Ivory-billed Woodpecker,Campephilus principalis,6,0,0,0
Falcons,50,Collared Forest-Falcon,Micrastur semitorquatus,5,0,0,0
Falcons,50,Crested Caracara,Caracara cheriway,1,0,0,0
Falcons,50,Eurasian Kestrel,Falco tinnunculus,4,0,0,0
Falcons,50,American Kestrel,Falco sparverius,1,0,0,0
Falcons,50,Red-footed Falcon,Falco vespertinus,5,0,0,0
Falcons,50,Merlin,Falco columbarius,1,0,0,0
Falcons,50,Eurasian Hobby,Falco subbuteo,4,0,0,0
Falcons,50,Aplomado Falcon,Falco femoralis,3,0,0,0
Falcons,50,Gyrfalcon,Falco rusticolus,2,0,0,0
Falcons,50,Peregrine Falcon,Falco peregrinus,1,0,0,0
Falcons,50,Prairie Falcon,Falco mexicanus,1,0,0,0
Psittaformes,51,Budgerigar,Melopsittacus undulatus,3,0,0,0
Psittaformes,51,Rosy-faced Lovebird,Agapornis roseicollis,2,0,0,0
Psittaformes,51,Monk Parakeet,Myiopsitta monachus,2,0,0,0
Psittaformes,51,Carolina Parakeet,Conuropsis carolinensis,6,0,0,0
Psittaformes,51,Green Parakeet,Aratinga holochlora,2,0,0,0
Psittaformes,51,Nanday Parakeet,Nandayus nenday,2,0,0,0
Psittaformes,51,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,6,0,0,0
Psittaformes,51,White-winged Parakeet,Brotogeris versicolurus,2,0,0,0
Psittaformes,51,Red-crowned Parrot,Amazona viridigenalis,2,0,0,1
Tyrants,52,Northern Beardless-Tyrannulet,Camptostoma imberbe,2,0,0,1
Tyrants,52,Greenish Elaenia,Myiopagis viridicata,5,0,0,1
Tyrants,52,White-crested Elaenia,Elaenia albiceps,5,0,0,1
Tyrants,52,Tufted Flycatcher,Mitrephanes phaeocercus,5,0,0,1
Tyrants,52,Olive-sided Flycatcher,Contopus cooperi,1,0,0,1
Tyrants,52,Greater Pewee,Contopus pertinax,2,0,0,1
Tyrants,52,Western Wood-Pewee,Contopus sordidulus,1,0,0,1
Tyrants,52,Eastern Wood-Pewee,Contopus virens,1,0,0,1
Tyrants,52,Cuban Pewee,Contopus caribaeus,5,0,0,1
Tyrants,52,Yellow-bellied Flycatcher,Empidonax flaviventris,1,0,0,1
Tyrants,52,Acadian Flycatcher,Empidonax virescens,1,0,0,1
Tyrants,52,Alder Flycatcher,Empidonax alnorum,1,0,0,1
Tyrants,52,Willow Flycatcher,Empidonax traillii,1,0,0,1
Tyrants,52,Least Flycatcher,Empidonax minimus,1,0,0,1
Tyrants,52,Hammond's Flycatcher,Empidonax hammondii,1,0,0,1
Tyrants,52,Gray Flycatcher,Empidonax wrightii,1,0,0,1
Tyrants,52,Dusky Flycatcher,Empidonax oberholseri,1,0,0,1
Tyrants,52,Pacific-slope Flycatcher,Empidonax difficilis,1,0,0,1
Tyrants,52,Cordilleran Flycatcher,Empidonax occidentalis,1,0,0,1
Tyrants,52,Buff-breasted Flycatcher,Empidonax fulvifrons,2,0,0,1
Tyrants,52,Black Phoebe,Sayornis nigricans,1,0,0,1
Tyrants,52,Eastern Phoebe,Sayornis phoebe,1,0,0,1
Tyrants,52,Say's Phoebe,Sayornis saya,1,0,0,1
Tyrants,52,Vermilion Flycatcher,Pyrocephalus rubinus,1,0,0,1
Tyrants,52,Dusky-capped Flycatcher,Myiarchus tuberculifer,2,0,0,1
Tyrants,52,Ash-throated Flycatcher,Myiarchus cinerascens,1,0,0,1
Tyrants,52,Nutting's Flycatcher,Myiarchus nuttingi,5,0,0,1
Tyrants,52,Great Crested Flycatcher,Myiarchus crinitus,1,0,0,1
Tyrants,52,Brown-crested Flycatcher,Myiarchus tyrannulus,1,0,0,1
Tyrants,52,La Sagra's Flycatcher,Myiarchus sagrae,3,0,0,1
Tyrants,52,Great Kiskadee,Pitangus sulphuratus,2,0,0,1
Tyrants,52,Social Flycatcher,Myiozetetes similis,5,0,0,1
Tyrants,52,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,2,0,0,1
Tyrants,52,Piratic Flycatcher,Legatus leucophaius,4,0,0,1
Tyrants,52,Variegated Flycatcher,Empidonomus varius,5,0,0,1
Tyrants,52,Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus,5,0,0,1
Tyrants,52,Tropical Kingbird,Tyrannus melancholicus,2,0,0,1
Tyrants,52,Couch's Kingbird,Tyrannus couchii,2,0,0,1
Tyrants,52,Cassin's Kingbird,Tyrannus vociferans,1,0,0,1
Tyrants,52,Thick-billed Kingbird,Tyrannus crassirostris,2,0,0,1
Tyrants,52,Western Kingbird,Tyrannus verticalis,1,0,0,1
Tyrants,52,Eastern Kingbird,Tyrannus tyrannus,1,0,0,1
Tyrants,52,Gray Kingbird,Tyrannus dominicensis,2,0,0,1
Tyrants,52,Loggerhead Kingbird,Tyrannus caudifasciatus,5,0,0,1
Tyrants,52,Scissor-tailed Flycatcher,Tyrannus forficatus,1,0,0,1
Tyrants,52,Fork-tailed Flycatcher,Tyrannus savana,3,0,0,1
Becards/Allies,53,Masked Tityra,Tityra semifasciata,5,0,0,1
Becards/Allies,53,Gray-collared Becard,Pachyramphus major,5,0,0,1
Becards/Allies,53,Rose-throated Becard,Pachyramphus aglaiae,3,0,0,1
Shrikes,54,Brown Shrike,Lanius cristatus,4,0,0,1
Shrikes,54,Loggerhead Shrike,Lanius ludovicianus,1,0,0,1
Shrikes,54,Northern Shrike,Lanius excubitor,1,0,0,1
Vireos,55,White-eyed Vireo,Vireo griseus,1,0,0,1
Vireos,55,Thick-billed Vireo,Vireo crassirostris,4,0,0,1
Vireos,55,Bell's Vireo,Vireo bellii,1,0,0,1
Vireos,55,Black-capped Vireo,Vireo atricapilla,2,0,0,1
Vireos,55,Gray Vireo,Vireo vicinior,2,0,0,1
Vireos,55,Yellow-throated Vireo,Vireo flavifrons,1,0,0,1
Vireos,55,Plumbeous Vireo,Vireo plumbeus,1,0,0,1
Vireos,55,Cassin's Vireo,Vireo cassinii,1,0,0,1
Vireos,55,Blue-headed Vireo,Vireo solitarius,1,0,0,1
Vireos,55,Hutton's Vireo,Vireo huttoni,1,0,0,1
Vireos,55,Warbling Vireo,Vireo gilvus,1,0,0,1
Vireos,55,Philadelphia Vireo,Vireo philadelphicus,1,0,0,1
Vireos,55,Red-eyed Vireo,Vireo olivaceus,1,0,0,1
Vireos,55,Yellow-green Vireo,Vireo flavoviridis,3,0,0,1
Vireos,55,Black-whiskered Vireo,Vireo altiloquus,2,0,0,1
Vireos,55,Yucatan Vireo,Vireo magister,5,0,0,1
Corvids,56,Gray Jay,Perisoreus canadensis,1,0,0,1
Corvids,56,Brown Jay,Psilorhinus morio,3,0,0,1
Corvids,56,Green Jay,Cyanocorax yncas,2,0,0,1
Corvids,56,Pinyon Jay,Gymnorhinus cyanocephalus,1,0,0,1
Corvids,56,Steller's Jay,Cyanocitta stelleri,1,0,0,1
Corvids,56,Blue Jay,Cyanocitta cristata,1,0,0,1
Corvids,56,Florida Scrub-Jay,Aphelocoma coerulescens,2,0,0,1
Corvids,56,Island Scrub-Jay,Aphelocoma insularis,2,0,0,1
Corvids,56,Western Scrub-Jay,Aphelocoma californica,1,0,0,1
Corvids,56,Mexican Jay,Aphelocoma wollweberi,2,0,0,1
Corvids,56,Clark's Nutcracker,Nucifraga columbiana,1,0,0,1
Corvids,56,Black-billed Magpie,Pica hudsonia,1,0,0,1
Corvids,56,Yellow-billed Magpie,Pica nuttalli,2,0,0,1
Corvids,56,Eurasian Jackdaw,Corvus monedula,4,0,0,1
Corvids,56,American Crow,Corvus brachyrhynchos,1,0,0,1
Corvids,56,Northwestern Crow,Corvus caurinus,1,0,0,1
Corvids,56,Tamaulipas Crow,Corvus imparatus,3,0,0,1
Corvids,56,Fish Crow,Corvus ossifragus,1,0,0,1
Corvids,56,Chihuahuan Raven,Corvus cryptoleucus,1,0,0,1
Corvids,56,Common Raven,Corvus corax,1,0,0,1
Larks,57,Sky Lark,Alauda arvensis,3,0,0,1
Larks,57,Horned Lark,Eremophila alpestris,1,0,0,1
Swallows,58,Purple Martin,Progne subis,1,0,0,1
Swallows,58,Cuban Martin,Progne cryptoleuca,5,0,0,1
